testString,shouldAccept
,true
a,true
b,false
aa,true
ab,false
ba,false
bb,false
aaa,true
aab,false
aba,false
abb,false
baa,false
bab,false
bba,false
bbb,false
aaaa,true
aaab,false
aaba,false
aabb,false
abaa,false
abab,false
abba,false
abbb,false
baaa,false
baab,false
baba,false
babb,false
bbaa,false
bbab,false
bbba,false
bbbb,false
aaaaa,true
aaaab,false
aaaba,false
aaabb,false
aabaa,false
aabab,false
aabba,false
aabbb,false
abaaa,false
abaab,false
ababa,false
ababb,false
abbaa,false
abbab,false
abbba,false
abbbb,false
baaaa,false
baaab,false
baaba,false
baabb,false
babaa,false
babab,false
babba,false
babbb,false
bbaaa,false
bbaab,false
bbaba,false
bbabb,false
bbbaa,false
bbbab,false
bbbba,false
bbbbb,false
