testString,shouldAccept
,false
a,false
b,false
aa,false
ab,true
ba,false
bb,false
aaa,false
aab,true
aba,false
abb,true
baa,false
bab,false
bba,false
bbb,false
aaaa,false
aaab,true
aaba,false
aabb,true
abaa,false
abab,false
abba,false
abbb,true
baaa,false
baab,false
baba,false
babb,false
bbaa,false
bbab,false
bbba,false
bbbb,false
aaaaa,false
aaaab,true
aaaba,false
aaabb,true
aabaa,false
aabab,false
aabba,false
aabbb,true
abaaa,false
abaab,false
ababa,false
ababb,false
abbaa,false
abbab,false
abbba,false
abbbb,true
baaaa,false
baaab,false
baaba,false
baabb,false
babaa,false
babab,false
babba,false
babbb,false
bbaaa,false
bbaab,false
bbaba,false
bbabb,false
bbbaa,false
bbbab,false
bbbba,false
bbbbb,false
aaaaabbbbb,true
abbbbbbbbbbb,true
aaaaaaaaaaaaaaaaab,true
aaaaaaaaabbbbbbbbbbbbbbbb,true
