testString,shouldAccept
,false
a,true
b,false
aa,true
ab,true
ba,true
bb,false
aaa,true
aab,true
aba,true
abb,true
baa,true
bab,true
bba,true
bbb,false
aaaa,true
aaab,true
aaba,true
aabb,true
abaa,true
abab,true
abba,true
abbb,true
baaa,true
baab,true
baba,true
babb,true
bbaa,true
bbab,true
bbba,true
bbbb,false
aaaaa,true
aaaab,true
aaaba,true
aaabb,true
aabaa,true
aabab,true
aabba,true
aabbb,true
abaaa,true
abaab,true
ababa,true
ababb,true
abbaa,true
abbab,true
abbba,true
abbbb,true
baaaa,true
baaab,true
baaba,true
baabb,true
babaa,true
babab,true
babba,true
babbb,true
bbaaa,true
bbaab,true
bbaba,true
bbabb,true
bbbaa,true
bbbab,true
bbbba,true
bbbbb,false
