testString,shouldAccept
,true
a,false
b,false
aa,true
ab,false
ba,false
bb,true
aaa,true
aab,false
aba,true
abb,false
baa,false
bab,true
bba,false
bbb,true
aaaa,true
aaab,false
aaba,true
aabb,false
abaa,true
abab,false
abba,true
abbb,false
baaa,false
baab,true
baba,false
babb,true
bbaa,false
bbab,true
bbba,false
bbbb,true
aaaaa,true
aaaab,false
aaaba,true
aaabb,false
aabaa,true
aabab,false
aabba,true
aabbb,false
abaaa,true
abaab,false
ababa,true
ababb,false
abbaa,true
abbab,false
abbba,true
abbbb,false
baaaa,false
baaab,true
baaba,false
baabb,true
babaa,false
babab,true
babba,false
babbb,true
bbaaa,false
bbaab,true
bbaba,false
bbabb,true
bbbaa,false
bbbab,true
bbbba,false
bbbbb,true
