testString,shouldAccept
,true
a,true
b,true
aa,true
ab,true
ba,true
bb,true
aaa,true
aab,true
aba,false
abb,true
baa,true
bab,true
bba,true
bbb,true
aaaa,true
aaab,true
aaba,true
aabb,true
abaa,false
abab,false
abba,true
abbb,true
baaa,true
bbaa,true
bbab,true
bbba,true
bbbb,true
aaaaa,true
aaaab,true
aaaba,true
aaabb,true
aabaa,true
aabab,true
aabba,true
aabbb,true
abaaa,false
abaab,false
ababa,false
ababb,false
abbaa,true
abbab,true
baaba,true
baabb,true
babaa,true
bbaba,true
bbabb,true
bbbaa,true
bbbab,true
bbbba,true
bbbbb,true
