testString,shouldAccept
,false
a,true
b,false
aa,false
ab,false
ba,false
bb,false
aaa,true
aab,false
aba,false
abb,true
baa,false
bab,true
bba,true
bbb,false
aaaa,false
aaab,false
aaba,false
aabb,false
abaa,false
abab,false
abba,false
abbb,false
baaa,false
baab,false
baba,false
babb,false
bbaa,false
bbab,false
bbba,false
bbbb,false
aaaaa,true
aaaab,false
aaaba,false
aaabb,true
aabaa,false
aabab,true
aabba,true
aabbb,false
abaaa,false
abaab,false
ababa,true
ababb,false
abbaa,true
abbab,false
abbba,false
abbbb,true
baaaa,false
baaab,true
baaba,false
baabb,false
babaa,true
babab,false
babba,false
babbb,true
bbaaa,true
bbaab,false
bbaba,false
bbabb,true
bbbaa,false
bbbab,true
bbbba,true
bbbbb,false
