testString,shouldAccept
,false
a,false
b,false
aa,false
ab,false
ba,false
bb,false
aaa,false
aab,false
aba,true
abb,false
baa,false
bab,false
bba,false
bbb,false
aaaa,false
aaab,false
aaba,true
aabb,false
abaa,true
abab,true
abba,true
abbb,false
baaa,false
baab,false
baba,true
babb,false
bbaa,false
bbab,false
bbba,false
bbbb,false
aaaaa,false
aaaab,false
aaaba,true
aaabb,false
aabaa,true
aabab,true
aabba,true
aabbb,false
abaaa,true
abaab,true
ababa,true
ababb,true
abbaa,true
abbab,true
abbba,true
abbbb,false
baaaa,false
baaab,false
baaba,true
baabb,false
babaa,true
babab,true
babba,true
babbb,false
bbaaa,false
bbaab,false
bbaba,true
bbabb,false
bbbaa,false
bbbab,false
bbbba,false
bbbbb,false
bbabbbbbbab,true
