testString,shouldAccept
,false
a,false
b,false
aa,false
ab,false
ba,false
bb,false
aaa,false
aab,false
aba,true
abb,false
bba,false
bbb,false
aaaa,false
aaab,false
aaba,true
aabb,false
abbb,false
baaa,false
baab,false
baba,true
babb,false
bbaa,false
bbab,false
bbba,false
bbbb,false
aaaaa,false
aaaab,false
aaaba,true
aaabb,false
aabaa,false
abaaa,false
abaab,false
ababa,true
ababb,false
abbaa,false
baaaa,false
baaab,false
baaba,true
baabb,false
babaa,false
babbb,false
bbaaa,false
bbaab,false
bbaba,true
bbabb,false
bbbba,false
bbbbb,false
bbaaaba,true
abbababa,true
abbabaaababba,false
